admin1,admin2,location_name,latitude,longitude,risk_score,expected_fatalities
Kiambu,Githunguri,Kiamwangi,-1.1067,36.8667,100.0,628
Nairobi,Kasarani,Nairobi - Kasarani,-1.2197,36.89,99.8,627
Nairobi,Roysambu,Nairobi - Roysambu,-1.2067,36.8888,99.8,627
Kiambu,Kiambu Town,Kiambu,-1.1667,36.8333,98.6,619
Nairobi,Mathare,Nairobi - Mathare,-1.2614,36.8608,98.4,618
Nairobi,Ruaraka,Nairobi - Ruaraka,-1.2456,36.8799,98.4,618
Kiambu,Ruiru,Ruiru,-1.15,36.9667,98.4,618
Nairobi,Kamukunji,Nairobi - Kamukunji,-1.2759,36.8526,97.9,615
Nairobi,Starehe,Nairobi - Starehe,-1.2881,36.8236,97.9,615
Nairobi,Embakasi North,Nairobi - Embakasi North,-1.2517,36.8995,97.9,615
Nairobi,Embakasi West,Nairobi - Embakasi West,-1.2692,36.8917,97.8,614
Nairobi,Makadara,Nairobi - Makadara,-1.2966,36.8672,97.6,613
Kiambu,Kiambaa,Kiambaa,-1.1624,36.7561,97.5,612
Nairobi,Embakasi Central,Nairobi - Embakasi Central,-1.268,36.9148,97.5,612
Nairobi,Embakasi East,Nairobi - Embakasi East,-1.2999,36.9333,97.1,610
Nairobi,Westlands,Nairobi - Westlands,-1.2379,36.7879,97.1,610
Nairobi,Embakasi South,Nairobi - Embakasi South,-1.3261,36.889,97.1,610
Nairobi,Dagoretti North,Nairobi - Dagoretti North,-1.2793,36.7789,96.8,608
Kiambu,Kabete,Gitaru,-1.2333,36.6833,96.7,607
Nairobi,Kibra,Nairobi - Kibra,-1.3061,36.7857,96.2,604
Nairobi,Langata,Nairobi - Langata,-1.3508,36.7589,95.9,602
Kiambu,Kikuyu,Kikuyu,-1.2462,36.6629,95.9,602
Nairobi,Dagoretti South,Nairobi - Dagoretti South,-1.2828,36.7131,95.7,601
Kiambu,Gatundu South,Mutomo,-1.0333,36.9167,86.1,541
Kajiado,Kajiado North,Ngong,-1.3667,36.65,84.4,530
Kiambu,Limuru,Limuru,-1.1136,36.6421,79.3,498
Machakos,Athi River,Athi River,-1.45,36.9833,78.8,495
Kajiado,Kajiado East,Kitengela,-1.4761,36.9614,77.9,489
Mombasa,Jomvu,Jomvu,-3.985,39.614,37.1,233
Mombasa,Kisauni,Kisauni,-4.0333,39.6833,36.3,228
Mombasa,Likoni,Likoni,-4.0839,39.6616,36.1,227
Mombasa,Mvita,Mombasa,-4.0547,39.6636,36.1,227
Kilifi,Kaloleni,Kaloleni,-3.8167,39.6269,36.1,227
Kilifi,Kilifi South,Shanzu,-3.9493,39.7515,35.8,225
Mombasa,Nyali,Ganjoni,-4.05,39.7,35.8,225
Mombasa,Changamwe,Changamwe,-4.0166,39.6333,35.7,224
Kilifi,Rabai,Mazeras,-3.9667,39.55,35.0,220
Kwale,Matuga,Kwale,-4.1738,39.4521,32.5,204
Kiambu,Juja,Twiga,-1.05,37.0333,29.0,182
Vihiga,Vihiga,Vihiga,0.0802,34.7237,27.4,172
Vihiga,Sabatia,Mululu,0.1544,34.7859,26.3,165
Vihiga,Hamisi,Kaimosi,0.1266,34.8466,25.8,162
Nandi,Aldai,Kemeloi,0.1124,34.8916,25.3,159
Vihiga,Luanda,Emuhaya,0.0333,34.6333,25.2,158
Kisumu,Nyakach,Urudi,-0.0263,34.557,24.8,156
Kisumu,Kisumu West,Maseno,-0.0042,34.6095,24.8,156
Kisumu,Kisumu Central,Kisumu,-0.1,34.75,24.4,153
Kisumu,Kisumu East,Nyalenda,-0.15,34.75,24.2,152
Nakuru,Subukia,Kabazi,-0.0833,36.1667,24.0,151
Turkana,Turkana Central,Lodwar,3.1191,35.5973,23.9,150
Kisumu,Nyando,Rabour,-0.15,34.8,23.6,148
Nakuru,Njoro,Njoro,-0.3316,35.9449,23.2,146
Baringo,Mogotio,Mochongoi,0.0167,36.1,22.9,144
Nakuru,Nakuru North,Nakuru,-0.2441,36.142,22.1,139
Kisumu,Seme,Nyatigo,-0.1167,34.4833,22.1,139
Nakuru,Nakuru West,Barut,-0.3223,36.0529,19.6,123
